question_external_id,paper_external_id
Q-PHAR-PYQ-008,EP-KUHS-PHAR-2024-P1
Q-FMT-PYQ-001,EP-KUHS-FMT-2021-P1
Q-FMT-PYQ-001,EP-KUHS-FMT-2023-P1
Q-FMT-PYQ-001,EP-KUHS-FMT-2025-P1
Q-FMT-PYQ-002,EP-KUHS-FMT-2022-P1
Q-FMT-PYQ-003,EP-KUHS-FMT-2021-P1
Q-FMT-PYQ-003,EP-KUHS-FMT-2023-P1
Q-FMT-PYQ-003,EP-KUHS-FMT-2025-P1
Q-FMT-PYQ-004,EP-KUHS-FMT-2024-P1
Q-FMT-PYQ-005,EP-KUHS-FMT-2021-P1
Q-FMT-PYQ-005,EP-KUHS-FMT-2023-P1
Q-FMT-PYQ-005,EP-KUHS-FMT-2025-P1
Q-FMT-PYQ-006,EP-KUHS-FMT-2024-P1
Q-PSM-PYQ-001,EP-KUHS-PSM-2021-P1
Q-PSM-PYQ-001,EP-KUHS-PSM-2023-P1
Q-PSM-PYQ-001,EP-KUHS-PSM-2025-P1
Q-PSM-PYQ-002,EP-KUHS-PSM-2022-P1
Q-PSM-PYQ-003,EP-KUHS-PSM-2021-P1
Q-PSM-PYQ-003,EP-KUHS-PSM-2023-P1
Q-PSM-PYQ-003,EP-KUHS-PSM-2025-P1
Q-PSM-PYQ-004,EP-KUHS-PSM-2024-P1
Q-PSM-PYQ-005,EP-KUHS-PSM-2021-P1
Q-PSM-PYQ-005,EP-KUHS-PSM-2023-P1
Q-PSM-PYQ-005,EP-KUHS-PSM-2025-P1
Q-PSM-PYQ-006,EP-KUHS-PSM-2024-P1
Q-PSM-PYQ-007,EP-KUHS-PSM-2021-P1
Q-PSM-PYQ-007,EP-KUHS-PSM-2023-P1
Q-PSM-PYQ-007,EP-KUHS-PSM-2025-P1
Q-PSM-PYQ-008,EP-KUHS-PSM-2022-P1
Q-MED-PYQ-001,EP-KUHS-MED-2021-P1
Q-MED-PYQ-001,EP-KUHS-MED-2023-P1
Q-MED-PYQ-001,EP-KUHS-MED-2025-P1
Q-MED-PYQ-002,EP-KUHS-MED-2024-P1
Q-MED-PYQ-003,EP-KUHS-MED-2021-P1
Q-MED-PYQ-003,EP-KUHS-MED-2023-P1
Q-MED-PYQ-003,EP-KUHS-MED-2025-P1
Q-MED-PYQ-004,EP-KUHS-MED-2024-P1
Q-MED-PYQ-005,EP-KUHS-MED-2021-P1
Q-MED-PYQ-005,EP-KUHS-MED-2023-P1
Q-MED-PYQ-005,EP-KUHS-MED-2025-P1
Q-MED-PYQ-006,EP-KUHS-MED-2022-P1
Q-MED-PYQ-007,EP-KUHS-MED-2021-P1
Q-MED-PYQ-007,EP-KUHS-MED-2023-P1
Q-MED-PYQ-007,EP-KUHS-MED-2025-P1
Q-MED-PYQ-008,EP-KUHS-MED-2024-P1
Q-MED-PYQ-009,EP-KUHS-MED-2021-P1
Q-MED-PYQ-009,EP-KUHS-MED-2023-P1
Q-MED-PYQ-009,EP-KUHS-MED-2025-P1
Q-MED-PYQ-010,EP-KUHS-MED-2024-P1
Q-MED-PYQ-011,EP-KUHS-MED-2021-P1
Q-MED-PYQ-011,EP-KUHS-MED-2023-P1
Q-MED-PYQ-011,EP-KUHS-MED-2025-P1
Q-MED-PYQ-012,EP-KUHS-MED-2022-P1
Q-SUR-PYQ-001,EP-KUHS-SUR-2021-P1
Q-SUR-PYQ-001,EP-KUHS-SUR-2023-P1
Q-SUR-PYQ-001,EP-KUHS-SUR-2025-P1
Q-SUR-PYQ-002,EP-KUHS-SUR-2024-P1
Q-SUR-PYQ-003,EP-KUHS-SUR-2021-P1
Q-SUR-PYQ-003,EP-KUHS-SUR-2023-P1
Q-SUR-PYQ-003,EP-KUHS-SUR-2025-P1
Q-SUR-PYQ-004,EP-KUHS-SUR-2024-P1
Q-SUR-PYQ-005,EP-KUHS-SUR-2021-P1
Q-SUR-PYQ-005,EP-KUHS-SUR-2023-P1
Q-SUR-PYQ-005,EP-KUHS-SUR-2025-P1
Q-SUR-PYQ-006,EP-KUHS-SUR-2022-P1
Q-SUR-PYQ-007,EP-KUHS-SUR-2021-P1
Q-SUR-PYQ-007,EP-KUHS-SUR-2023-P1
Q-SUR-PYQ-007,EP-KUHS-SUR-2025-P1
Q-SUR-PYQ-008,EP-KUHS-SUR-2024-P1
Q-SUR-PYQ-009,EP-KUHS-SUR-2021-P1
Q-SUR-PYQ-009,EP-KUHS-SUR-2023-P1
Q-SUR-PYQ-009,EP-KUHS-SUR-2025-P1
Q-SUR-PYQ-010,EP-KUHS-SUR-2024-P1
Q-OBG-PYQ-001,EP-KUHS-OBG-2021-P1
Q-OBG-PYQ-001,EP-KUHS-OBG-2023-P1
Q-OBG-PYQ-001,EP-KUHS-OBG-2025-P1
Q-OBG-PYQ-002,EP-KUHS-OBG-2021-P1
Q-OBG-PYQ-002,EP-KUHS-OBG-2023-P1
Q-OBG-PYQ-002,EP-KUHS-OBG-2025-P1
Q-OBG-PYQ-003,EP-KUHS-OBG-2021-P1
Q-OBG-PYQ-003,EP-KUHS-OBG-2023-P1
Q-OBG-PYQ-003,EP-KUHS-OBG-2025-P1
Q-OBG-PYQ-004,EP-KUHS-OBG-2024-P1
Q-OBG-PYQ-005,EP-KUHS-OBG-2021-P1
Q-OBG-PYQ-005,EP-KUHS-OBG-2023-P1
Q-OBG-PYQ-005,EP-KUHS-OBG-2025-P1
Q-OBG-PYQ-006,EP-KUHS-OBG-2024-P1
Q-PED-PYQ-001,EP-KUHS-PED-2021-P1
Q-PED-PYQ-001,EP-KUHS-PED-2023-P1
Q-PED-PYQ-001,EP-KUHS-PED-2025-P1
Q-PED-PYQ-002,EP-KUHS-PED-2022-P1
Q-PED-PYQ-003,EP-KUHS-PED-2021-P1
Q-PED-PYQ-003,EP-KUHS-PED-2023-P1
Q-PED-PYQ-003,EP-KUHS-PED-2025-P1
Q-PED-PYQ-004,EP-KUHS-PED-2024-P1
Q-PED-PYQ-005,EP-KUHS-PED-2021-P1
Q-PED-PYQ-005,EP-KUHS-PED-2023-P1
Q-PED-PYQ-005,EP-KUHS-PED-2025-P1
Q-PED-PYQ-006,EP-KUHS-PED-2024-P1
Q-OPH-PYQ-001,EP-KUHS-OPH-2021-P1
Q-OPH-PYQ-001,EP-KUHS-OPH-2023-P1
Q-OPH-PYQ-001,EP-KUHS-OPH-2025-P1
Q-OPH-PYQ-002,EP-KUHS-OPH-2022-P1
Q-OPH-PYQ-003,EP-KUHS-OPH-2021-P1
Q-OPH-PYQ-003,EP-KUHS-OPH-2023-P1
Q-OPH-PYQ-003,EP-KUHS-OPH-2025-P1
Q-OPH-PYQ-004,EP-KUHS-OPH-2024-P1
Q-OPH-PYQ-005,EP-KUHS-OPH-2021-P1
Q-OPH-PYQ-005,EP-KUHS-OPH-2023-P1
Q-OPH-PYQ-005,EP-KUHS-OPH-2025-P1
Q-OPH-PYQ-006,EP-KUHS-OPH-2024-P1
Q-ENT-PYQ-001,EP-KUHS-ENT-2021-P1
Q-ENT-PYQ-001,EP-KUHS-ENT-2023-P1
Q-ENT-PYQ-001,EP-KUHS-ENT-2025-P1
Q-ENT-PYQ-002,EP-KUHS-ENT-2022-P1
Q-ENT-PYQ-003,EP-KUHS-ENT-2021-P1
Q-ENT-PYQ-003,EP-KUHS-ENT-2023-P1
Q-ENT-PYQ-003,EP-KUHS-ENT-2025-P1
Q-ENT-PYQ-004,EP-KUHS-ENT-2024-P1
Q-ENT-PYQ-005,EP-KUHS-ENT-2021-P1
Q-ENT-PYQ-005,EP-KUHS-ENT-2023-P1
Q-ENT-PYQ-005,EP-KUHS-ENT-2025-P1
Q-ENT-PYQ-006,EP-KUHS-ENT-2024-P1
Q-ORT-PYQ-001,EP-KUHS-ORT-2021-P1
Q-ORT-PYQ-001,EP-KUHS-ORT-2023-P1
Q-ORT-PYQ-001,EP-KUHS-ORT-2025-P1
Q-ORT-PYQ-002,EP-KUHS-ORT-2022-P1
Q-ORT-PYQ-003,EP-KUHS-ORT-2021-P1
Q-ORT-PYQ-003,EP-KUHS-ORT-2023-P1
Q-ORT-PYQ-003,EP-KUHS-ORT-2025-P1
Q-ORT-PYQ-004,EP-KUHS-ORT-2024-P1
Q-ORT-PYQ-005,EP-KUHS-ORT-2021-P1
Q-ORT-PYQ-005,EP-KUHS-ORT-2023-P1
Q-ORT-PYQ-005,EP-KUHS-ORT-2025-P1
Q-ORT-PYQ-006,EP-KUHS-ORT-2024-P1
Q-DER-PYQ-001,EP-KUHS-DER-2021-P1
Q-DER-PYQ-001,EP-KUHS-DER-2023-P1
Q-DER-PYQ-001,EP-KUHS-DER-2025-P1
Q-DER-PYQ-002,EP-KUHS-DER-2022-P1
Q-DER-PYQ-003,EP-KUHS-DER-2021-P1
Q-DER-PYQ-003,EP-KUHS-DER-2023-P1
Q-DER-PYQ-003,EP-KUHS-DER-2025-P1
Q-DER-PYQ-004,EP-KUHS-DER-2024-P1
Q-DER-PYQ-005,EP-KUHS-DER-2021-P1
Q-DER-PYQ-005,EP-KUHS-DER-2023-P1
Q-DER-PYQ-005,EP-KUHS-DER-2025-P1
Q-DER-PYQ-006,EP-KUHS-DER-2024-P1
Q-PSY-PYQ-001,EP-KUHS-PSY-2021-P1
Q-PSY-PYQ-001,EP-KUHS-PSY-2023-P1
Q-PSY-PYQ-001,EP-KUHS-PSY-2025-P1
Q-PSY-PYQ-002,EP-KUHS-PSY-2022-P1
Q-PSY-PYQ-003,EP-KUHS-PSY-2021-P1
Q-PSY-PYQ-003,EP-KUHS-PSY-2023-P1
Q-PSY-PYQ-003,EP-KUHS-PSY-2025-P1
Q-PSY-PYQ-004,EP-KUHS-PSY-2024-P1
Q-PSY-PYQ-005,EP-KUHS-PSY-2021-P1
Q-PSY-PYQ-005,EP-KUHS-PSY-2023-P1
Q-PSY-PYQ-005,EP-KUHS-PSY-2025-P1
Q-PSY-PYQ-006,EP-KUHS-PSY-2024-P1
Q-ANE-PYQ-001,EP-KUHS-ANE-2021-P1
Q-ANE-PYQ-001,EP-KUHS-ANE-2023-P1
Q-ANE-PYQ-001,EP-KUHS-ANE-2025-P1
Q-ANE-PYQ-002,EP-KUHS-ANE-2022-P1
Q-ANE-PYQ-003,EP-KUHS-ANE-2021-P1
Q-ANE-PYQ-003,EP-KUHS-ANE-2023-P1
Q-ANE-PYQ-003,EP-KUHS-ANE-2025-P1
Q-ANE-PYQ-004,EP-KUHS-ANE-2024-P1
Q-ANE-PYQ-005,EP-KUHS-ANE-2021-P1
Q-ANE-PYQ-005,EP-KUHS-ANE-2023-P1
Q-ANE-PYQ-005,EP-KUHS-ANE-2025-P1
Q-ANE-PYQ-006,EP-KUHS-ANE-2024-P1
Q-RAD-PYQ-001,EP-KUHS-RAD-2021-P1
Q-RAD-PYQ-001,EP-KUHS-RAD-2023-P1
Q-RAD-PYQ-001,EP-KUHS-RAD-2025-P1
Q-RAD-PYQ-002,EP-KUHS-RAD-2022-P1
Q-RAD-PYQ-003,EP-KUHS-RAD-2021-P1
Q-RAD-PYQ-003,EP-KUHS-RAD-2023-P1
Q-RAD-PYQ-003,EP-KUHS-RAD-2025-P1
Q-RAD-PYQ-004,EP-KUHS-RAD-2024-P1
Q-RAD-PYQ-005,EP-KUHS-RAD-2021-P1
Q-RAD-PYQ-005,EP-KUHS-RAD-2023-P1
Q-RAD-PYQ-005,EP-KUHS-RAD-2025-P1
Q-RAD-PYQ-006,EP-KUHS-RAD-2024-P1
