question_external_id,textbook_key,page,section_heading
Q-MED-PYQ-003,TB-API-12,890,"COPD, asthma and pneumonia"
Q-MED-PYQ-004,TB-API-12,902,"Pleural disease, TB and interstitial lung disease"
Q-MED-PYQ-005,TB-HARRISON-21,2234,"Cirrhosis, GI bleed and hepatitis"
Q-MED-PYQ-006,TB-HARRISON-21,2246,"IBD, pancreatitis and malabsorption"
Q-MED-PYQ-007,TB-HARRISON-21,2654,Diabetes mellitus and thyroid disorders
Q-MED-PYQ-008,TB-HARRISON-21,2666,"Adrenal, pituitary and calcium disorders"
Q-MED-PYQ-009,TB-HARRISON-21,3050,Stroke and meningitis
Q-MED-PYQ-010,TB-HARRISON-21,3062,"Seizures, GBS and movement disorders"
Q-MED-PYQ-011,TB-API-12,712,"AKI, CKD and nephritic-nephrotic syndromes"
Q-MED-PYQ-012,TB-API-12,724,"Electrolytes, acid-base and dialysis"
Q-SUR-PYQ-001,TB-BAILEY-28,48,"Shock, burns and wound healing"
Q-SUR-PYQ-002,TB-BAILEY-28,60,"Hernia, thyroid and breast (surgical approach)"
Q-SUR-PYQ-003,TB-SRB-6,612,"Peptic ulcer, gallbladder and pancreas"
Q-SUR-PYQ-004,TB-SRB-6,624,Intestinal obstruction and appendix
Q-SUR-PYQ-005,TB-BAILEY-28,1398,Urolithiasis and BPH
Q-SUR-PYQ-006,TB-BAILEY-28,1410,Testicular tumours and haematuria
Q-SUR-PYQ-007,TB-BAILEY-28,612,Head injury and intracranial haemorrhage
Q-SUR-PYQ-008,TB-BAILEY-28,624,"Raised ICP, hydrocephalus and spinal trauma"
Q-SUR-PYQ-009,TB-SRB-6,428,Breast carcinoma
Q-SUR-PYQ-010,TB-SRB-6,440,Thyroid and parathyroid surgery
Q-OBG-PYQ-001,TB-DUTTA-9,112,Antenatal care and anaemia in pregnancy
Q-OBG-PYQ-002,TB-DUTTA-9,124,Hypertensive disorders and APH/PPH
Q-OBG-PYQ-003,TB-SHAW-17,88,"AUB, fibroids and endometriosis"
Q-OBG-PYQ-004,TB-SHAW-17,100,Ovarian tumours and endometrial carcinoma
Q-OBG-PYQ-005,TB-DUTTA-9,128,Mechanism of labour and partograph
Q-OBG-PYQ-006,TB-DUTTA-9,140,"Obstructed labour, APH and third stage"
Q-PED-PYQ-001,TB-GHAI-9,142,Neonatal resuscitation and jaundice
Q-PED-PYQ-002,TB-GHAI-9,154,"RDS, TTN and perinatal asphyxia"
Q-PED-PYQ-003,TB-GHAI-9,228,"Measles, IMNCI and diarrhoea"
Q-PED-PYQ-004,TB-GHAI-9,240,"Malaria, dengue and tuberculosis in children"
Q-PED-PYQ-005,TB-GHAI-9,12,"Growth charts, milestones and puberty"
Q-PED-PYQ-006,TB-GHAI-9,24,"SAM, vitamin deficiencies and immunization catch-up"
Q-OPH-PYQ-001,TB-KHURANA-7,88,"Conjunctivitis, xerophthalmia and keratitis"
Q-OPH-PYQ-002,TB-KHURANA-7,100,Cataract and corneal ulcers
Q-OPH-PYQ-003,TB-KHURANA-7,226,Primary open-angle glaucoma
Q-OPH-PYQ-004,TB-KHURANA-7,238,Acute angle-closure glaucoma
Q-OPH-PYQ-005,TB-KHURANA-7,278,Diabetic retinopathy
Q-OPH-PYQ-006,TB-KHURANA-7,290,Retinal vascular occlusions and ARMD
Q-ENT-PYQ-001,TB-DHINGRA-7,48,Otitis media and CSOM
Q-ENT-PYQ-002,TB-DHINGRA-7,60,"Hearing tests, cholesteatoma and facial nerve"
Q-ENT-PYQ-003,TB-DHINGRA-7,168,Epistaxis and DNS
Q-ENT-PYQ-004,TB-DHINGRA-7,180,"Sinusitis, polyps and nasopharyngeal carcinoma"
Q-ENT-PYQ-005,TB-DHINGRA-7,288,Stridor and laryngomalacia
Q-ENT-PYQ-006,TB-DHINGRA-7,300,Vocal cord palsy and carcinoma larynx
Q-ORT-PYQ-001,TB-MAHESHWARI-6,82,"Colles, scaphoid and neck of femur"
Q-ORT-PYQ-002,TB-MAHESHWARI-6,94,Compartment syndrome and fat embolism
Q-ORT-PYQ-003,TB-MAHESHWARI-6,178,Osteomyelitis and septic arthritis
Q-ORT-PYQ-004,TB-MAHESHWARI-6,190,Pott spine and skeletal TB
Q-ORT-PYQ-005,TB-MAHESHWARI-6,248,Scoliosis and IVDP
Q-ORT-PYQ-006,TB-MAHESHWARI-6,260,Cauda equina and spinal injuries
Q-DER-PYQ-001,TB-NEENAKHANNA-5,42,Psoriasis and lichen planus
Q-DER-PYQ-002,TB-NEENAKHANNA-5,54,Pityriasis rosea and eczema
Q-DER-PYQ-003,TB-NEENAKHANNA-5,88,Pyoderma and dermatophytes
Q-DER-PYQ-004,TB-NEENAKHANNA-5,100,"Leprosy, scabies and viral exanthems"
Q-DER-PYQ-005,TB-NEENAKHANNA-5,126,Pemphigus vulgaris
Q-DER-PYQ-006,TB-NEENAKHANNA-5,138,Bullous pemphigoid and dermatitis herpetiformis
Q-PSY-PYQ-001,TB-AHUJA-8,78,Major depression and bipolar disorder
Q-PSY-PYQ-002,TB-AHUJA-8,90,"Suicide risk, ECT and antidepressants"
Q-PSY-PYQ-003,TB-AHUJA-8,52,Clinical features and first-rank symptoms
Q-PSY-PYQ-004,TB-AHUJA-8,64,Antipsychotics and clozapine monitoring
Q-PSY-PYQ-005,TB-AHUJA-8,112,Anxiety disorders and OCD
Q-PSY-PYQ-006,TB-AHUJA-8,124,Alcohol withdrawal and CAGE
Q-ANE-PYQ-001,TB-MORGAN-6,148,Induction agents and inhalational anaesthetics
Q-ANE-PYQ-002,TB-MORGAN-6,160,Malignant hyperthermia and monitoring
Q-ANE-PYQ-003,TB-MORGAN-6,918,Spinal and epidural anaesthesia
Q-ANE-PYQ-004,TB-MORGAN-6,930,Local anaesthetic systemic toxicity
Q-ANE-PYQ-005,TB-MORGAN-6,308,"Mallampati, intubation and difficult airway"
Q-ANE-PYQ-006,TB-MORGAN-6,320,"LMA, RSI and cannot-intubate cannot-oxygenate"
Q-RAD-PYQ-001,TB-SUTTON-7,48,"Silhouette sign, pneumonia and pneumothorax"
Q-RAD-PYQ-002,TB-SUTTON-7,60,Pulmonary embolism imaging and collapse
Q-RAD-PYQ-003,TB-SUTTON-7,612,Pneumoperitoneum and bowel obstruction
Q-RAD-PYQ-004,TB-SUTTON-7,624,"Appendicitis, pancreatitis and renal stones imaging"
Q-RAD-PYQ-005,TB-SUTTON-7,1488,Stroke CT and haemorrhage patterns
Q-RAD-PYQ-006,TB-SUTTON-7,1500,EDH vs SDH and raised-ICP signs
