university_code,name
NTRUHS,Other / not listed
GITAM,"GITAM Institute of Medical Sciences and Research, Visakhapatnam"
GITAM,Other / not listed
SVIMS,"SVIMS - Sri Padmavathi Medical College for Women, Alipiri Road, Tirupati"
SVIMS,Other / not listed
RGU,"Tomo Riba Institute of Health & Medical Sciences (TRIHMS), Naharlagun"
RGU,Other / not listed
SSUHS,"Assam Medical College, Dibrugarh"
SSUHS,"Gauhati Medical College, Guwahati"
SSUHS,"Silchar Medical College, Silchar"
SSUHS,"Fakhruddin Ali Ahmed Medical College (Barpeta Medical College), Barpeta"
SSUHS,"Jorhat Medical College & Hospital, Jorhat"
SSUHS,"Tezpur Medical College & Hospital, Tezpur"
SSUHS,"Dhubri Medical College, Dhubri"
SSUHS,"Diphu Medical College & Hospital, Diphu"
SSUHS,Kokrajhar Medical College
SSUHS,Lakhimpur Medical College
SSUHS,Nagaon Medical College
SSUHS,"Nalbari Medical College, Nalbari"
SSUHS,"Pragjyotishpur Medical College, Guwahati"
SSUHS,Tinsukia Medical College
SSUHS,"ESIC Medical College and Hospital, Beltola"
SSUHS,Bongaigaon Medical College
SSUHS,Other / not listed
BUHS,"Patna Medical College, Patna"
BUHS,"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna"
BUHS,"Nalanda Medical College, Patna"
BUHS,"Anugrah Narayan Magadh Medical College, Gaya"
BUHS,"Bhagwan Mahavir Institute of Medical Sciences, Pawapuri (Nalanda)"
BUHS,"Darbhanga Medical College, Lehriasarai"
BUHS,"Government Medical College, Bettiah"
BUHS,"Jawaharlal Nehru Medical College, Bhagalpur"
BUHS,"Shri Krishna Medical College, Muzaffarpur"
BUHS,"Employees State Insurance Corporation Medical College, Patna (Bihta)"
BUHS,"Government Medical College, Purnea"
BUHS,"Jannayak Karpoori Thakur Medical College & Hospital, Madhepura"
BUHS,"Government Medical College and Hospital, Chapra, Saran"
BUHS,"Shri Ram Janki Medical College and Hospital, Samastipur"
BUHS,"Madhubani Medical College, Madhubani"
BUHS,"Narayan Medical College & Hospital, Sasaram"
BUHS,"Katihar Medical College, Katihar"
BUHS,Radha Devi Jageshwari Memorial Medical College and Hospital
BUHS,"Himalaya Medical College and Hospital, Patna"
BUHS,"Lord Buddha Koshi Medical College and Hospital, Saharsa"
BUHS,"Mata Gujri Memorial Medical College, Kishanganj"
BUHS,"Netaji Subhas Medical College & Hospital, Bihta, Patna"
BUHS,Shree Narayan Medical Institute and Hospital
BUHS,Mahabodhi Medical College & Hospital
BUHS,Shyamlal Chandrashekhar Medical College & SPNM Hospital
BUHS,Viraat Ramayan Institute of Medical Sciences
BUHS,Buddha Hospital and Research Institute
BUHS,K.K. Medical College & Hospital
BUHS,Kurma Sanskriti Medical College and Hospital
BUHS,Mamta Medical College & Hospital
BUHS,Shrinivas G Educational & Research Institute of Medical Sciences
BUHS,Other / not listed
CGHSAU,"Pt. J.N.M. Medical College, Raipur"
CGHSAU,"Chandulal Chandrakar Memorial Medical College, Durg"
CGHSAU,"Chhattisgarh Institute of Medical Sciences, Bilaspur"
CGHSAU,"Government Medical College (Bharat Ratna Atal Bihari Vajpayee Memorial), Rajnandgaon"
CGHSAU,"Government Medical College, Korba"
CGHSAU,"Government Medical College, Mahasamund"
CGHSAU,"Late Shri Baliram Kashyap Memorial NDMC Govt. Medical College, Jagdalpur"
CGHSAU,"Rajmata Devendra Kumari Singhdeo Government Medical College, Ambikapur (Surguja)"
CGHSAU,"Shrimati Indira Gandhi Memorial Govt. Medical College, Kanker (formerly GMC Kanker)"
CGHSAU,"Late Shri Lakhi Ram Agrawal Memorial Govt. Medical College, Raigarh"
CGHSAU,"Government Medical College, Dantewada"
CGHSAU,"Government Medical College, Janjgir-Champa"
CGHSAU,"Government Medical College, Jashpur-Kunkuri"
CGHSAU,"Government Medical College, Kabeerdham"
CGHSAU,"Government Medical College, Manendragarh"
CGHSAU,Shri Balaji Institute of Medical Science
CGHSAU,"Shri Shankaracharya Institute of Medical Sciences, Bhilai"
CGHSAU,"Abhishek Mishra Memorial Medical College & RC, Bhiali, Durg"
CGHSAU,"Raipur Institute of Medical Sciences (RIMS), Raipur"
CGHSAU,"Shri Rawatpura Sarkar Institute of Medical Sciences and Research, Nava Raipur"
CGHSAU,Maa Padmavati Institute of Medical Sciences
CGHSAU,Other / not listed
GGSIPU,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi"
GGSIPU,"Dr. Baba Saheb Ambedkar Medical College, Rohini, Delhi"
GGSIPU,"Atal Bihari Vajpayee Institute of Medical Sciences (ABVIMS) & Dr. RML Hospital, New Delhi"
GGSIPU,"Army College of Medical Sciences, New Delhi (Army wards only)"
GGSIPU,"North Delhi Municipal Corporation Medical College, Delhi"
GGSIPU,"ESIC Medical College & Hospital, Basaidarapur, New Delhi"
GGSIPU,Other / not listed
Jamia Hamdard,"Hamdard Institute of Medical Sciences & Research (HIMSR), New Delhi"
Jamia Hamdard,Other / not listed
DU,"Maulana Azad Medical College, New Delhi"
DU,"Lady Hardinge Medical College, New Delhi (women-only)"
DU,"University College of Medical Sciences & GTB Hospital, New Delhi"
DU,Other / not listed
GU-goa,"Goa Medical College, Panaji (Bambolim)"
GU-goa,Other / not listed
BU,"Pramukhswami Medical College, Karmsad"
BU,Other / not listed
BKNMU,"Government Medical College, Porbandar"
BKNMU,Other / not listed
DDU,"Dr. N.D. Desai Faculty of Medical Science and Research, Nadiad"
DDU,Other / not listed
GU-gujarat,"B.J. Medical College, Ahmedabad"
GU-gujarat,"Smt. N.H.L. Municipal Medical College, Ahmedabad"
GU-gujarat,"Dr. M.K. Shah Medical College & Research Centre, Ahmedabad"
GU-gujarat,"GMERS Medical College, Gandhinagar"
GU-gujarat,"GMERS Medical College, Sola, Ahmedabad"
GU-gujarat,"Narendra Modi Medical College, Ahmedabad"
GU-gujarat,"GCS Medical College, Ahmedabad"
GU-gujarat,"Swaminarayan Institute of Medical Sciences & Research, Ahmedabad"
GU-gujarat,"Ananya College of Medicine & Research, Kalol"
GU-gujarat,"SAL Institute of Medical Sciences, Ahmedabad"
GU-gujarat,"ESIC Medical College, Naroda-Bapunagar, Ahmedabad"
GU-gujarat,Other / not listed
HNGU,"GMERS Medical College, Dharpur, Patan"
HNGU,"GMERS Medical College, Hadiyol, Himmatnagar"
HNGU,"GMERS Medical College, Vadnagar, Mehsana"
HNGU,"Banas Medical College and Research Institute, Palanpur"
HNGU,"Bhagyoday Medical College, Kadi, Mehsana"
HNGU,Other / not listed
KSKVKU,"Gujarat Adani Institute of Medical Sciences, Bhuj"
KSKVKU,Other / not listed
MKBU,"Government Medical College, Bhavnagar"
MKBU,Other / not listed
MSU Baroda,"Medical College, Baroda (Govt.)"
MSU Baroda,"GMERS Medical College, Gotri, Vadodara"
MSU Baroda,Other / not listed
PU,"Parul Institute of Medical Sciences & Research, Vadodara"
PU,Other / not listed
SPU,"Nootan Medical College and Research Centre, Mehsana"
SPU,Other / not listed
SU-gujarat,"M.P. Shah Medical College, Jamnagar"
SU-gujarat,"Pandit Deendayal Upadhyay Medical College, Rajkot"
SU-gujarat,"GMERS Medical College, Junagadh"
SU-gujarat,"Shantabaa Medical College, Amreli"
SU-gujarat,"Matushri Prabhaben Khodabhai Boghara Medical College, Atkot/Rajkot"
SU-gujarat,"Government Medical College, Morbi"
SU-gujarat,"CU Shah Medical College, Surendra Nagar"
SU-gujarat,Other / not listed
SGGU,"Zydus Medical College & Hospital, Dahod"
SGGU,"Government Medical College, Panchmahal, Godhra"
SGGU,Other / not listed
SVDU,"SBKS Medical Institute & Research Centre, Vadodara"
SVDU,Other / not listed
VNSGU,"Government Medical College, Surat"
VNSGU,"Surat Municipal Institute of Medical Education & Research (SMIMER), Surat"
VNSGU,"GMERS Medical College, Valsad"
VNSGU,Dr. Kiran C. Patel Medical College and Research Institute
VNSGU,"Kiran Medical College, Surat"
VNSGU,"GMERS Medical College, Navsari"
VNSGU,"GMERS Medical College, Rajpipla"
VNSGU,Other / not listed
AVV-haryana,Amrita School of Medicine
AVV-haryana,Other / not listed
MMDU,"Maharishi Markandeshwar Institute of Medical Sciences & Research, Mullana, Ambala"
MMDU,Other / not listed
MMU,"Maharishi Markandeshwar College of Medical Sciences & Research, Sadopur"
MMU,Other / not listed
UHS Rohtak,"Pt. B.D. Sharma Postgraduate Institute of Medical Sciences, Rohtak"
UHS Rohtak,"Employees State Insurance Corporation Medical College, Faridabad"
UHS Rohtak,"BPS Government Medical College for Women, Sonepat"
UHS Rohtak,"Kalpana Chawla Govt. Medical College, Karnal"
UHS Rohtak,"Shaheed Hasan Khan Mewati Government Medical College, Nalhar"
UHS Rohtak,"Maharishi Chyawan Medical College, Koriawas"
UHS Rohtak,"Pt. Neki Ram Sharma Government Medical College, Bhiwani"
UHS Rohtak,"Shri Atal Bihari Vajpayee Government Medical College, Faridabad"
UHS Rohtak,"Adesh Medical College and Hospital, Shahabad, Kurukshetra"
UHS Rohtak,"World College of Medical Sciences & Research, Jhajjar"
UHS Rohtak,"Al Falah School of Medical Sciences & Research Centre, Faridabad"
UHS Rohtak,"N.C. Medical College & Hospital, Panipat"
UHS Rohtak,"Maharaja Agrasen Medical College, Agroha"
UHS Rohtak,Sanskaram School of Medical Sciences
UHS Rohtak,Other / not listed
SGTU,"Faculty of Medicine and Health Sciences, Gurgaon (formerly SGGST Medical College)"
SGTU,Other / not listed
AMRU,"Dr. Radhakrishnan Government Medical College, Hamirpur"
AMRU,"Dr. Rajendra Prasad Government Medical College, Tanda"
AMRU,"Dr. Yashwant Singh Parmar Government Medical College, Nahan (Sirmour)"
AMRU,"Indira Gandhi Medical College, Shimla"
AMRU,"Pt. Jawahar Lal Nehru Government Medical College, Chamba"
AMRU,"Shri Lal Bahadur Shastri Government Medical College, Mandi (Ner Chowk)"
AMRU,"Maharishi Markandeshwar Medical College & Hospital, Solan"
AMRU,Other / not listed
BBMKU,"Hazaribagh Medical College, Hazaribagh"
BBMKU,"Shaheed Nirmal Mahto Medical College & Hospital, Dhanbad"
BBMKU,Other / not listed
KU,"M.G.M. Medical College, Jamshedpur"
KU,"Netaji Subhas Medical College and Hospital, Adityapur/Saraikela"
KU,Other / not listed
MAHE-jharkhand,"Manipal Tata Medical College, Baridih, Jamshedpur"
MAHE-jharkhand,Other / not listed
NPU,"Palamu Medical College, Palamu"
NPU,Other / not listed
NC,Birsa Institute of Medical Sciences and Research
NC,Other / not listed
RCU,"Laxmi Chandravansi Medical College & Hospital, Bishrampur, Palamu"
RCU,Other / not listed
RU,"Rajendra Institute of Medical Sciences, Ranchi"
RU,Other / not listed
SKMU,"Dumka Medical College, Dighi Dumka"
SKMU,Sido Kanhu Medical College and Hospital
SKMU,Other / not listed
ACU,"Adichunchanagiri Institute of Medical Sciences, Bellur (B.G. Nagar)"
ACU,Other / not listed
BLDE,"Shri B.M. Patil Medical College, Hospital & Research Centre, Vijayapura"
BLDE,Other / not listed
JSSAHER,"JSS Medical College, Mysore"
JSSAHER,Other / not listed
KAHER,"Jawaharlal Nehru Medical College, Belgaum"
KAHER,Other / not listed
KBNU,"Khaja Bandanawaz University, Faculty of Medical Sciences, Gulbarga"
KBNU,Other / not listed
MAHE-karnataka,"Kasturba Medical College, Manipal"
MAHE-karnataka,"Kasturba Medical College, Mangalore"
MAHE-karnataka,Other / not listed
Nitte,"K.S. Hegde Medical Academy, Mangalore"
Nitte,Other / not listed
RGUHS,"Bangalore Medical College and Research Institute, Bangalore"
RGUHS,"Mysore Medical College and Research Institute, Mysore"
RGUHS,"Vijaynagar Institute of Medical Sciences, Bellary"
RGUHS,"Belagavi Institute of Medical Sciences, Belagavi"
RGUHS,"Bidar Institute of Medical Sciences, Bidar"
RGUHS,"Gulbarga Institute of Medical Sciences, Gulbarga"
RGUHS,"Hassan Institute of Medical Sciences, Hassan"
RGUHS,"Karnataka Medical College and Research Institute, Hubballi"
RGUHS,"Raichur Institute of Medical Sciences, Raichur"
RGUHS,"Shri Atal Bihari Vajpayee Medical College and Research Institute, Bengaluru"
RGUHS,Chamrajanagar Institute of Medical Sciences
RGUHS,Chikkamagaluru Institute of Medical Sciences
RGUHS,Chitradurga Medical College and Research Institute
RGUHS,"Employees State Insurance Corporation Medical College, Bangalore"
RGUHS,"Employees State Insurance Corporation Medical College, Gulbarga"
RGUHS,"Haveri Institute of Medical Sciences, Haveri"
RGUHS,"K.H. Patil Institute of Medical Sciences, Gadag"
RGUHS,"Karwar Institute of Medical Sciences, Karwar"
RGUHS,"Kodagu Institute of Medical Sciences, Kodagu"
RGUHS,"Koppal Institute of Medical Sciences, Koppal"
RGUHS,"Mandya Institute of Medical Sciences, Mandya"
RGUHS,"Nandi Medical College and Research Institute, Chikkaballapura"
RGUHS,"Shimoga Institute of Medical Sciences, Shimoga"
RGUHS,"Yadgiri Institute of Medical Sciences, Yadgiri"
RGUHS,"A.J. Institute of Medical Sciences & Research Centre, Mangalore"
RGUHS,"Akash Institute of Medical Sciences & Research Centre, Devanhalli, Bangalore"
RGUHS,"BGS Medical College and Hospital, Bengaluru"
RGUHS,"Kempegowda Institute of Medical Sciences, Bangalore"
RGUHS,"MVJ Medical College and Research Hospital, Bangalore"
RGUHS,"Raja Rajeswari Medical College & Hospital, Bangalore"
RGUHS,"S. Nijalingappa Medical College & HSK Hospital & Research Centre, Bagalkot"
RGUHS,"Sapthagiri Institute of Medical Sciences & Research Centre, Bangalore"
RGUHS,"Shridevi Institute of Medical Sciences & Research Hospital, Tumkur"
RGUHS,"Subbaiah Institute of Medical Sciences, Shimoga"
RGUHS,"Srinivas Institute of Medical Sciences & Research Centre, Mangalore"
RGUHS,"Vydehi Institute of Medical Sciences & Research Centre, Bangalore"
RGUHS,"JJM Medical College, Davangere"
RGUHS,Jagadguru Gangadhar Mahaswamigalu Moorusavirmath Medical College (JGMMMC)
RGUHS,"Kanachur Institute of Medical Sciences, Mangalore"
RGUHS,"Mahadevappa Rampure Medical College, Kalaburagi"
RGUHS,"Navodaya Medical College, Raichur"
RGUHS,"S.S. Institute of Medical Sciences & Research Centre, Davangere"
RGUHS,"Siddaganga Medical College and Research Institute, Tumakuru"
RGUHS,"The Oxford Medical College, Hospital & Research Centre, Bangalore"
RGUHS,"Dr. Chandramma Dayananda Sagar Institute of Medical Education & Research, Harohalli"
RGUHS,"East Point College of Medical Sciences & Research Centre, Bangalore"
RGUHS,"Al-Ameen Medical College, Bijapur"
RGUHS,"Basaveswara Medical College and Hospital, Chitradurga"
RGUHS,"BGS Global Institute of Medical Sciences, Bangalore"
RGUHS,"Dr. B.R. Ambedkar Medical College, Bangalore"
RGUHS,"Father Muller's Medical College, Mangalore"
RGUHS,G.R. Medical College Hospital & Research Centre
RGUHS,"K.V.G. Medical College, Sullia"
RGUHS,"M.S. Ramaiah Medical College, Bangalore"
RGUHS,"PES University Institute of Medical Sciences and Research, Bangalore"
RGUHS,Sri Chamundeshwari Medical College Hospital & Research Institute
RGUHS,Farookh Academy of Medical Education Hospital and Research Institute
RGUHS,"SR Patil Medical College and Hospital, Bagalkot"
RGUHS,"Sri Madhusudan Sai Institute of Medical Sciences & Research, Chikballapur"
RGUHS,Alva's Institute of Medical Sciences and Research Centre
RGUHS,Chettinad Institute of Medical Education and Research
RGUHS,Other / not listed
SDUAHER,"Sri Devaraj URS Medical College, Kolar"
SDUAHER,Other / not listed
SSAHE,"Sri Siddhartha Medical College, Tumkur"
SSAHE,"Sri Siddhartha Institute of Medical Sciences & Research Centre, Bangalore"
SSAHE,Other / not listed
Yenepoya,"Yenepoya Medical College, Mangalore"
Yenepoya,Other / not listed
AVV-kerala,"Amrita School of Medicine, Elamkara, Kochi"
AVV-kerala,Other / not listed
KUHS,"Medical College, Thiruvananthapuram"
KUHS,"Government Medical College, Kozhikode (Calicut)"
KUHS,"Government Medical College, Kottayam"
KUHS,"T.D. Medical College, Alleppey (Alappuzha)"
KUHS,"Government Medical College, Thrissur"
KUHS,"Government Medical College, Ernakulam"
KUHS,"Government Medical College, Manjeri, Malappuram"
KUHS,"Government Medical College, Parippally, Kollam"
KUHS,"Government Medical College (Institute of Integrated Medical Sciences), Yakkara, Palakkad"
KUHS,"Government Medical College, Idukki"
KUHS,"Government Medical College, Konni"
KUHS,"Govt. Medical College, Pariyaram, Kannur"
KUHS,"Government Medical College, Kasaragod"
KUHS,"Government Medical College, Wayanad"
KUHS,"Al-Azhar Medical College and Super Speciality Hospital, Thodupuzha"
KUHS,"KMCT Medical College, Kozhikode (Calicut)"
KUHS,"Malabar Medical College, Kozhikode (Calicut)"
KUHS,"P.K. Das Institute of Medical Sciences, Palakkad"
KUHS,"Sree Uthradom Thirunal Academy of Medical Sciences, Trivandrum"
KUHS,"Travancore Medical College, Kollam"
KUHS,"Dr. Moopen Medical College, Wayanad"
KUHS,"Dr. Somervel Memorial CSI Hospital & Medical College, Karakonam"
KUHS,"Jubilee Mission Medical College & Research Institute, Thrissur"
KUHS,"Karuna Medical College, Palakkad"
KUHS,"Kerala Medical College, Mangode"
KUHS,"M.E.S. Medical College, Perintalmanna, Malappuram"
KUHS,"Mount Zion Medical College, Chayalode, Ezhamkulam, Adoor"
KUHS,"Palakkad Institute of Medical Sciences, Palakkad"
KUHS,"Sree Gokulam Medical College Trust & Research Foundation, Trivandrum"
KUHS,"Sree Narayana Institute of Medical Sciences, Chalakka, Ernakulam"
KUHS,"Amala Institute of Medical Sciences, Thrissur"
KUHS,"Azeezia Institute of Medical Science, Meeyannoor, Kollam"
KUHS,"Believers Church Medical College Hospital, Thiruvalla"
KUHS,"Malankara Orthodox Syrian Church Medical College, Kolenchery"
KUHS,"Pushpagiri Institute of Medical Sciences and Research Centre, Tiruvalla"
KUHS,Other / not listed
MPMSU,"Gandhi Medical College, Bhopal"
MPMSU,"MGM Medical College, Indore"
MPMSU,"Netaji Subhash Chandra Bose Medical College, Jabalpur"
MPMSU,"Gajra Raja Medical College, Gwalior"
MPMSU,"Dr. Laxminarayan Pandey Government Medical College, Ratlam"
MPMSU,"Government Medical College, Vidisha (Atal Bihari Vajpayee GMC)"
MPMSU,"Bundelkhand Medical College, Sagar"
MPMSU,"Government Medical College, Chhindwara"
MPMSU,"Government Medical College, Satna"
MPMSU,"Shyam Shah Medical College, Rewa"
MPMSU,"Government Medical College, Datia"
MPMSU,"Government Medical College, Khandwa"
MPMSU,"Government Medical College, Sheopur"
MPMSU,"Government Medical College, Singrauli"
MPMSU,"Government Medical College, Seoni"
MPMSU,"Government Medical College, Shahdol"
MPMSU,"Government Medical College, Shivpuri"
MPMSU,Sundarlal Patwa Government Medical College
MPMSU,Virendra Kumar Sakhlecha Government Medical College
MPMSU,"ESIC Medical College and Hospital, Indore"
MPMSU,"Amaltas Institute of Medical Sciences, Dewas"
MPMSU,"Chirayu Medical College and Hospital, Bhopal"
MPMSU,"Index Medical College Hospital & Research Centre, Indore"
MPMSU,"L.N. Medical College and Research Centre, Bhopal"
MPMSU,"Peoples College of Medical Sciences & Research Centre, Bhopal"
MPMSU,"Sri Aurobindo Medical College and Post Graduate Institute, Indore"
MPMSU,"Sukh Sagar Medical College & Hospital, Jabalpur"
MPMSU,"LNCT Medical College & Sewakunj Hospital, Indore"
MPMSU,"Mahaveer Institute of Medical Sciences & Research, Bhopal"
MPMSU,Mansarovar Medical College and MGU Hospital
MPMSU,"Ram Krishna College Hospital & Research Centre, Bhopal"
MPMSU,"RKDF Medical College Hospital & Research Centre, Bhopal"
MPMSU,"Ruxmaniben Deepchand Gardi Medical College, Ujjain"
MPMSU,"School of Medical Sciences, Sri Satya Sai University of Technology and Medical Sciences, Sehore"
MPMSU,Other / not listed
BVDU,"Bharati Vidyapeeth University Medical College, Pune"
BVDU,"Bharati Vidyapeeth Deemed University Medical College & Hospital, Sangli"
BVDU,Other / not listed
DMIMS,"Jawaharlal Nehru Medical College, Sawangi (Meghe), Wardha"
DMIMS,"Datta Meghe Medical College, Nagpur"
DMIMS,Other / not listed
DPU,"Padmashree Dr. D.Y. Patil Medical College, Navi Mumbai"
DPU,"Dr. D.Y. Patil Medical College, Hospital and Research Centre, Pimpri, Pune"
DPU,"Dr. D.Y. Patil Medical College, Kolhapur"
DPU,"DY Patil University, School of Medicine, Navi Mumbai"
DPU,Other / not listed
KVV,"Krishna Institute of Medical Sciences, Karad"
KVV,Other / not listed
MGMIHS,"Mahatma Gandhi Mission's Medical College, Aurangabad (Chhatrapati Sambhajinagar)"
MGMIHS,"Mahatma Gandhi Mission's Medical College, Kamothe, Navi Mumbai"
MGMIHS,"Mahatma Gandhi Mission Medical College, Vashi"
MGMIHS,"Mahatma Gandhi Mission's Medical College, Panvel"
MGMIHS,"Mahatma Gandhi Mission's Medical College, Nerul, Navi Mumbai"
MGMIHS,Other / not listed
MUHS,"Government Medical College, Nagpur"
MUHS,"Grant Medical College, Mumbai"
MUHS,"Seth GS Medical College, Mumbai"
MUHS,"B.J. Government Medical College, Pune"
MUHS,"Government Medical College, Akola"
MUHS,"Government Medical College, Aurangabad"
MUHS,"Government Medical College, Miraj"
MUHS,"H.B.T. Medical College & Dr. R.N. Cooper Municipal Hospital, Mumbai"
MUHS,"Indira Gandhi Medical College & Hospital, Nagpur"
MUHS,"Lokmanya Tilak Municipal Medical College, Sion, Mumbai"
MUHS,"Shri Vasant Rao Naik Government Medical College, Yavatmal"
MUHS,"Dr. Vaishampayan Memorial Medical College, Solapur"
MUHS,"Armed Forces Medical College, Pune"
MUHS,"Dr. Shankarrao Chavan Government Medical College, Nanded"
MUHS,"Government Medical College, Chandrapur"
MUHS,"Government Medical College, Gondia"
MUHS,"Government Medical College, Jalgaon"
MUHS,"Government Medical College, Latur"
MUHS,"Rajashree Chatrapati Shahu Maharaj Government Medical College, Kolhapur"
MUHS,"Sri Bhausaheb Hire Government Medical College, Dhule"
MUHS,"SRTR Medical College, Ambajogai"
MUHS,"Topiwala National Medical College, Mumbai"
MUHS,"Government Medical College & Hospital, Baramati"
MUHS,"Government Medical College, Alibag"
MUHS,"Government Medical College, Ambernath"
MUHS,"Government Medical College, Amravati"
MUHS,"Government Medical College, Bhandara"
MUHS,"Government Medical College, Buldhana"
MUHS,"Government Medical College, Gadchiroli"
MUHS,"Government Medical College, Hingoli"
MUHS,"Government Medical College, Jalna"
MUHS,"Government Medical College, Nandurbar"
MUHS,"Government Medical College, Osmanabad"
MUHS,"Government Medical College, Parbhani"
MUHS,"Government Medical College, Satara"
MUHS,"Government Medical College, Sindhudurg"
MUHS,"Government Medical College, Washim"
MUHS,"Government Medical College and District Hospital, Ratnagiri"
MUHS,"Rajiv Gandhi Medical College and Chhatrapati Shivaji Maharaj Hospital, Thane"
MUHS,"ESIC Medical College and Hospital, Andheri"
MUHS,"Government Medical College, L.T. Marg, Mumbai"
MUHS,"Government Medical College, Nashik"
MUHS,"N.K.P. Salve Institute of Medical Sciences & Research Centre and Lata Mangeshkar Hospital, Nagpur"
MUHS,"Dr. Ulhas Patil Medical College & Hospital, Jalgaon"
MUHS,"Dr. Vithalrao Vikhe Patil Foundation's Medical College & Hospital, Ahmednagar"
MUHS,"Ashwini Rural Medical College, Hospital & Research Centre, Solapur"
MUHS,"B.K.L. Walawalkar Rural Medical College, Ratnagiri"
MUHS,"Dr. Panjabrao Deshmukh Memorial Medical College, Amravati"
MUHS,"Dr. Rajendra Gode Medical College, Amravati"
MUHS,"Dr. Vasantrao Pawar Medical College, Hospital & Research Centre, Nashik"
MUHS,"Indian Institute of Medical Science & Research, Jalna"
MUHS,"Maharashtra Institute of Medical Education & Research, Talegaon, Pune"
MUHS,"Maharashtra Institute of Medical Sciences & Research, Latur"
MUHS,Parbhani Medical College
MUHS,"Prakash Institute of Medical Sciences & Research, Sangli"
MUHS,"R.K. Damani Medical College (Shri Ramchandra Institute of Medical Sciences), Chhatrapati Sambhajinagar"
MUHS,"SMBT Institute of Medical Sciences & Research Centre, Nashik"
MUHS,"Smt. Kashibai Navale Medical College and General Hospital, Pune"
MUHS,"Terna Medical College, Navi Mumbai"
MUHS,"Vedantaa Institute of Medical Sciences, Palghar"
MUHS,"SSPM Medical College & Lifetime Hospital, Sindhudurg"
MUHS,"ACPM Medical College, Dhule"
MUHS,"Bharatratna Atal Bihari Vajpayee Medical College, Pune"
MUHS,Dr. N.Y. Tasgaonkar Institute of Medical Science
MUHS,"K.J. Somaiya Medical College & Research Centre, Mumbai"
MUHS,Smt. Sakhubai Narayanrao Katkade Medical College and Research Center
MUHS,Malati Multispeciality Hospital and Medical College
MUHS,B.S.P. Medical College and Hospital
MUHS,Mauli Medical College Hospital & Research Center
MUHS,Ideal Institute of Medical Science
MUHS,Other / not listed
MGIMS,"Mahatma Gandhi Institute of Medical Sciences, Sevagram, Wardha"
MGIMS,Other / not listed
PIMS-DU,"Rural Medical College, Loni"
PIMS-DU,Other / not listed
SIU,"Symbiosis Medical College for Women, Pune"
SIU,Other / not listed
MU,"Jawaharlal Nehru Institute of Medical Sciences (JNIMS), Porompat, Imphal"
MU,"Regional Institute of Medical Sciences (RIMS), Imphal"
MU,"Government Medical College, Churachandpur"
MU,Shija Academy of Health Sciences
MU,Other / not listed
NEHU,Shillong Medical College
NEHU,"North Eastern Indira Gandhi Regional Institute of Health and Medical Sciences (NEIGRIHMS), Shillong"
NEHU,Other / not listed
USTM,"PA Sangma International Medical College and Hospital (PIMC), Ri-Bhoi"
USTM,Other / not listed
MZU,"Zoram Medical College and Hospital (ZMC&H), Falkawn, Aizawl"
MZU,Other / not listed
NU,"Nagaland Institute of Medical Sciences and Research (NIMSR), Kohima"
NU,Other / not listed
KIIT,"Kalinga Institute of Medical Sciences, Bhubaneswar"
KIIT,Other / not listed
